state,gdp_2015_q2,rank
"California",2424033,1
"Texas",1648007,2
"New York",1444406,3
"Florida",883735,4
"Illinois",764817,5
"Pennsylvania",677582,6
"Ohio",592899,7
"New Jersey",573947,8
"North Carolina",503745,9
"Georgia",496180,10
"Virginia",476919,11
"Massachusetts",473606,12
"Michigan",462252,13
"Washington",446096,14
"Maryland",360969,15
"Minnesota",330782,16
"Indiana",326538,17
"Colorado",316535,18
"Tennessee",307125,19
"Wisconsin",296971,20
"Arizona",295445,21
"Missouri",287207,22
"Connecticut",259661,23
"Louisiana",252965,24
"Oregon",225661,25
"Alabama",207303,26
"South Carolina",196887,27
"Kentucky",192874,28
"Oklahoma",181089,29
"Iowa",168089,30
"Utah",146697,31
"Kansas",146219,32
"Nevada",140608,33
"Arkansas",122492,34
"District of Columbia",121798,
"Nebraska",112208,35
"Mississippi",106880,36
"New Mexico",90810,37
"Hawaii",79595,38
"New Hampshire",71632,39
"West Virginia",71123,40
"Delaware",66150,41
"Idaho",65202,42
"Rhode Island",56323,43
"Maine",55137,44
"Alaska",54256,45
"North Dakota",53686,46
"Montana",45799,47
"South Dakota",45415,48
"Wyoming",40170,49
"Vermont",29750,50
"Southeast",3818227,1
"Far West",3370249,2
"Mideast",3244853,3
"Great Lakes",2443478,4
"Southwest",2215351,5
"Plains",1143606,6
"New England",946108,7
"Rocky Mountain",614404,8
