state,pce_2012,pce_2013,pce_2014,perc_change_2012_2013,perc_change_2013_2014
Connecticut,155206,158937,164885,2.4,3.7
Maine,51591,52855,54730,2.4,3.5
Massachusetts,301676,310105,323916,2.8,4.5
New Hampshire,57679,59373,61874,2.9,4.2
Rhode Island,39632,40584,41969,2.4,3.4
Vermont,26050,27010,28050,3.7,3.9
Delaware,36357,37402,39016,2.9,4.3
District of Columbia,33161,34560,36332,4.2,5.1
Maryland,233002,239485,247780,2.8,3.5
New Jersey,382966,392593,406652,2.5,3.6
New York,794283,822169,863447,3.5,5.0
Pennsylvania,468272,479054,493704,2.3,3.1
Illinois,467555,479123,496313,2.5,3.6
Indiana,211216,215961,222696,2.2,3.1
Michigan,336987,345440,358916,2.5,3.9
Ohio,385974,396012,409653,2.6,3.4
Wisconsin,196469,202169,208940,2.9,3.3
Iowa,103090,105680,109551,2.5,3.7
Kansas,94223,97132,100659,3.1,3.6
Minnesota,207189,214284,222922,3.4,4.0
Missouri,203229,207766,212542,2.2,2.3
Nebraska,64694,66840,69346,3.3,3.7
North Dakota,30471,32855,35302,7.8,7.4
South Dakota,29283,30314,31481,3.5,3.9
Alabama,140053,143914,147879,2.8,2.8
Arkansas,82705,84888,87300,2.6,2.8
Florida,665308,690076,724066,3.7,4.9
Georgia,305898,317246,331348,3.7,4.4
Kentucky,134138,136953,140240,2.1,2.4
Louisiana,143522,148398,153342,3.4,3.3
Mississippi,83130,85543,87985,2.9,2.9
North Carolina,294126,305556,318760,3.9,4.3
South Carolina,145501,150894,155991,3.7,3.4
Tennessee,199180,204537,211871,2.7,3.6
Virginia,304866,312884,323164,2.6,3.3
West Virginia,57257,58548,59785,2.3,2.1
Arizona,211372,218585,228423,3.4,4.5
New Mexico,66724,68393,70790,2.5,3.5
Oklahoma,116950,120691,125131,3.2,3.7
Texas,841728,879703,929576,4.5,5.7
Colorado,191213,198751,210037,3.9,5.7
Idaho,49065,51011,53206,4.0,4.3
Montana,35981,37628,39426,4.6,4.8
Utah,86407,90599,95369,4.9,5.3
Wyoming,21289,21938,22826,3.0,4.0
Alaska,31852,32985,34059,3.6,3.3
California,1386209,1419344,1482477,2.4,4.4
Hawaii,53545,55701,58232,4.0,4.5
Nevada,90780,93985,97860,3.5,4.1
Oregon,133872,138574,145973,3.5,5.3
Washington,261132,271542,284456,4.0,4.8
